protocol,feature_set,model,fold,train_rows,test_rows,train_groups,test_groups,mae,rmse,r2
group_formula,AF+T+ES,xgboost,0,1302,363,1134,284,15.9577684638914,25.941851813224197,0.8202232738719075
group_formula,AF+T+ES,xgboost,1,1341,324,1134,284,16.22163353437259,34.54680870105866,0.7093776776100764
group_formula,AF+T+ES,xgboost,2,1353,312,1134,284,16.499827947372044,31.826423807321753,0.7728035075701984
group_formula,AF+T+ES,xgboost,3,1350,315,1135,283,14.557865590897817,29.010881873667284,0.7970526071129175
group_formula,AF+T+ES,xgboost,4,1314,351,1135,283,12.818869914084758,25.352654754294008,0.8324712775480251
group_host,AF,median,0,1331,334,894,224,32.97754491017964,62.99280564377373,-0.2228396220794222
group_host,AF,median,1,1336,329,894,224,42.83586626139817,71.55581068336234,-0.33606688215858793
group_host,AF,median,2,1385,280,894,224,43.292857142857144,73.53687121826322,-0.33478991467952124
group_host,AF,median,3,1323,342,895,223,46.43567251461988,75.40613234559665,-0.37371465965266926
group_host,AF,median,4,1285,380,895,223,45.63947368421053,78.66989660333199,-0.28293999402424297
group_host,AF,xgboost,0,1331,334,894,224,22.985044376578873,41.40854279142249,0.4715943004156532
group_host,AF,xgboost,1,1336,329,894,224,19.738487916152167,34.2745211334144,0.6934642175233146
group_host,AF,xgboost,2,1385,280,894,224,21.8344359261649,39.865170253030044,0.607725690102048
group_host,AF,xgboost,3,1323,342,895,223,26.855729844835068,47.15035215680641,0.4629025599504566
group_host,AF,xgboost,4,1285,380,895,223,26.652878209164268,49.614370860000115,0.48972515154131013
group_host,AF+ES,median,0,1331,334,894,224,32.97754491017964,62.99280564377373,-0.2228396220794222
group_host,AF+ES,median,1,1336,329,894,224,42.83586626139817,71.55581068336234,-0.33606688215858793
group_host,AF+ES,median,2,1385,280,894,224,43.292857142857144,73.53687121826322,-0.33478991467952124
group_host,AF+ES,median,3,1323,342,895,223,46.43567251461988,75.40613234559665,-0.37371465965266926
group_host,AF+ES,median,4,1285,380,895,223,45.63947368421053,78.66989660333199,-0.28293999402424297
group_host,AF+ES,xgboost,0,1331,334,894,224,17.496663624654985,33.347426895616636,0.6573014580003406
group_host,AF+ES,xgboost,1,1336,329,894,224,17.72716422501306,32.99737383288958,0.7158830523582459
group_host,AF+ES,xgboost,2,1385,280,894,224,18.131520516531808,34.118390557790946,0.7126708465421013
group_host,AF+ES,xgboost,3,1323,342,895,223,24.820540578741777,44.40005185706673,0.5237333675513066
group_host,AF+ES,xgboost,4,1285,380,895,223,20.776438903808593,43.16037194753711,0.6138468849732064
group_host,AF+T,median,0,1331,334,894,224,32.97754491017964,62.99280564377373,-0.2228396220794222
group_host,AF+T,median,1,1336,329,894,224,42.83586626139817,71.55581068336234,-0.33606688215858793
group_host,AF+T,median,2,1385,280,894,224,43.292857142857144,73.53687121826322,-0.33478991467952124
group_host,AF+T,median,3,1323,342,895,223,46.43567251461988,75.40613234559665,-0.37371465965266926
group_host,AF+T,median,4,1285,380,895,223,45.63947368421053,78.66989660333199,-0.28293999402424297
group_host,AF+T,xgboost,0,1331,334,894,224,22.848425402612744,40.74073255859664,0.48850043822102895
group_host,AF+T,xgboost,1,1336,329,894,224,19.770999989611038,34.313338665341654,0.6927694915168779
