protocol,feature_set,model,training_mode,Eu valence,fold,train_rows,test_rows,mae,rmse,r2
group_host,AF+ES,median,pooled,3,4,785,254,13.527559055118111,36.439411475234024,-0.020314697270829907
group_host,AF+ES,median,separate,2,0,499,127,70.28346456692914,80.85010919893872,-0.2387768591102768
group_host,AF+ES,median,separate,2,1,497,129,55.7906976744186,71.9117137443088,-0.0245857319366809
group_host,AF+ES,median,separate,2,2,518,108,64.06481481481481,74.49216961086134,-5.0058568525912506e-06
group_host,AF+ES,median,separate,2,3,490,136,64.63970588235294,78.60872014193426,-0.07427044964806906
group_host,AF+ES,median,separate,2,4,500,126,66.54761904761905,77.67826400231083,-0.04462863237825632
group_host,AF+ES,median,separate,3,0,832,207,5.823671497584541,19.528778466811413,-0.04318597243202804
group_host,AF+ES,median,separate,3,1,839,200,6.69,17.80505546186251,-0.08598283296205556
group_host,AF+ES,median,separate,3,2,867,172,8.813953488372093,21.01024113517357,-0.10542368359216048
group_host,AF+ES,median,separate,3,3,833,206,16.689320388349515,39.285116626395734,-0.16861157069977217
group_host,AF+ES,median,separate,3,4,785,254,13.173228346456693,36.77495938536541,-0.03919210287576225
group_host,AF+ES,xgboost,pooled,2,0,499,127,32.13780416653851,50.005653994652086,0.5261181389311684
group_host,AF+ES,xgboost,pooled,2,1,497,129,31.178559295890867,48.11016071936551,0.5414120468144727
group_host,AF+ES,xgboost,pooled,2,2,518,108,34.30127405237268,52.39828733910427,0.5052166105414932
group_host,AF+ES,xgboost,pooled,2,3,490,136,39.531296000761145,61.51834570127361,0.3420672947845237
group_host,AF+ES,xgboost,pooled,2,4,500,126,33.84176902165488,56.40576364827612,0.4491797860466442
group_host,AF+ES,xgboost,pooled,3,0,832,207,8.513934886397946,16.129485754306497,0.2883726623820031
group_host,AF+ES,xgboost,pooled,3,1,839,200,9.051014404296875,17.268784245456597,-0.02155046406952721
group_host,AF+ES,xgboost,pooled,3,2,867,172,7.978419459143351,13.077449313787277,0.5717348035952552
