protocol,feature_set,model,training_mode,fold,train_rows,test_rows,train_groups,test_groups,mae,rmse,r2
random_row,AF,median,separate,0,1332,333,1332,333,27.906906906906908,46.25711535235115,0.4375517864769125
random_row,AF,median,separate,1,1332,333,1332,333,28.57207207207207,50.455098523013184,0.2935818067136463
random_row,AF,median,separate,2,1332,333,1332,333,33.83783783783784,54.88924146705645,0.3861534040271921
random_row,AF,median,separate,3,1332,333,1332,333,30.93843843843844,55.32582305485113,0.23113485492159735
random_row,AF,median,separate,4,1332,333,1332,333,32.052552552552555,54.28398936612435,0.23231814940899487
random_row,AF,xgboost,pooled,0,1332,333,1332,333,17.207550965271913,34.87403352877696,0.6803094411113831
random_row,AF,xgboost,pooled,1,1332,333,1332,333,16.93851560300535,29.958266074471105,0.7509508259121525
random_row,AF,xgboost,pooled,2,1332,333,1332,333,19.517617532082863,35.718742916051184,0.7400572402585859
random_row,AF,xgboost,pooled,3,1332,333,1332,333,19.204896027619416,40.31975565798358,0.591652228538956
random_row,AF,xgboost,pooled,4,1332,333,1332,333,16.669712009372653,31.86731155909203,0.7354373010137655
random_row,AF,xgboost,separate,0,1332,333,1332,333,13.231997011660098,31.091319412486037,0.7459005328947672
random_row,AF,xgboost,separate,1,1332,333,1332,333,13.46376637868337,27.898812652593676,0.7840151945616919
