row_id,Host,Reference,Eu valence,match_count,host_missing,host_values,reference_values,eu_valence_missing,eu_valence_values,eu_valence_invalid,status
95,Sr6Ca4P6O24F2,https://doi.org/10.1016/j.materresbull.2015.07.031,2.0,1,False,1,1,False,1,False,resolved
96,Sr6Ca4P6O24F2,https://doi.org/10.1016/j.materresbull.2015.07.031,2.0,1,False,1,1,False,1,False,resolved
97,Sr6Ca4P6O24F2,https://doi.org/10.1016/j.materresbull.2015.07.031,2.0,1,False,1,1,False,1,False,resolved
98,Sr6Ca4P6O24F2,https://doi.org/10.1016/j.materresbull.2015.07.031,2.0,1,False,1,1,False,1,False,resolved
99,Sr6Ca4P6O24F2,https://doi.org/10.1016/j.materresbull.2015.07.031,2.0,1,False,1,1,False,1,False,resolved
100,Sr6Ca4P6O24F2,https://doi.org/10.1016/j.materresbull.2015.07.031,2.0,1,False,1,1,False,1,False,resolved
101,Ca7.98La2P6O26,https://doi.org/10.1021/jp302252k,2.0,2,False,1,1,False,1,False,resolved
102,Ca7.95La2P6O26,https://doi.org/10.1021/jp302252k,2.0,2,False,1,1,False,1,False,resolved
103,Ca7.94La2P6O26,https://doi.org/10.1021/jp302252k,2.0,2,False,1,1,False,1,False,resolved
104,Ca7.92La2P6O26,https://doi.org/10.1021/jp302252k,2.0,2,False,1,1,False,1,False,resolved
105,Na2.98Sc2P3O12,https://doi.org/10.1038/nmat4843,2.0,1,False,1,1,False,1,False,resolved
106,Na2.98Sc2P3O12,https://doi.org/10.1038/nmat4843,2.0,1,False,1,1,False,1,False,resolved
107,Na2.98Sc2P3O12,https://doi.org/10.1038/nmat4843,2.0,1,False,1,1,False,1,False,resolved
108,Na2.94Sc2P3O12,https://doi.org/10.1038/nmat4843,2.0,1,False,1,1,False,1,False,resolved
109,Na2.94Sc2P3O12,https://doi.org/10.1038/nmat4843,2.0,1,False,1,1,False,1,False,resolved
110,Na2.94Sc2P3O12,https://doi.org/10.1038/nmat4843,2.0,1,False,1,1,False,1,False,resolved
111,Na2.86Sc2P3O12,https://doi.org/10.1038/nmat4843,2.0,1,False,1,1,False,1,False,resolved
112,Na2.86Sc2P3O12,https://doi.org/10.1038/nmat4843,2.0,1,False,1,1,False,1,False,resolved
113,Na2.86Sc2P3O12,https://doi.org/10.1038/nmat4843,2.0,1,False,1,1,False,1,False,resolved
114,Na2.86Sc2P3O12,https://doi.org/10.1038/nmat4843,2.0,1,False,1,1,False,1,False,resolved
115,Na2.86Sc2P3O12,https://doi.org/10.1038/nmat4843,2.0,1,False,1,1,False,1,False,resolved
116,Y2Mg1.99Al2Si2O12,https://doi.org/10.1021/acssuschemeng.9b01401,2.0,1,False,1,1,False,1,False,resolved
